Temperature,Rainfall,Humidity,Soil_Moisture,Nitrogen,Phosphorus,Potassium,Yield
28,120,65,40,80,45,50,3.8
30,150,70,45,85,40,55,4.2
27,100,60,35,75,35,45,3.4
32,180,75,50,90,50,60,4.8
29,140,68,42,82,42,52,4.0
31,160,72,48,88,48,58,4.5
26,90,58,32,70,30,40,3.1
33,200,80,55,95,55,65,5.0
25,85,55,30,68,28,38,2.9
34,210,82,58,98,58,68,5.2
29,130,66,41,81,43,51,3.9
30,145,69,44,84,44,54,4.1
28,115,63,38,78,38,48,3.6
32,175,74,49,89,49,59,4.7
27,105,61,36,76,36,46,3.5
31,165,73,47,87,47,57,4.4
26,95,59,33,72,32,42,3.2
33,190,78,53,93,53,63,4.9
25,80,54,29,67,27,37,2.8
35,220,85,60,100,60,70,5.4
